,Salary,Level,Days Into Year,Years at Company,Years of Experience
142,295000.0,2.0,311.0,3.0,4.0
143,238750.0,1.0,311.0,0.0,0.0
144,226000.0,2.0,311.0,3.0,3.0
145,190000.0,1.0,311.0,3.0,3.0
146,213000.0,2.0,311.0,2.0,5.0
147,195600.0,1.0,311.0,0.0,1.0
148,155000.0,1.0,310.0,1.0,2.0
149,325000.0,3.0,310.0,5.0,12.0
150,242550.0,2.0,310.0,0.0,0.0
151,139769.0,1.0,310.0,0.0,2.0
152,327406.0,3.0,310.0,5.0,8.0
153,283000.0,2.0,310.0,3.0,6.0
154,460000.0,4.0,309.0,4.0,20.0
155,228000.0,2.0,309.0,2.0,10.0
156,293621.0,1.0,309.0,3.0,5.0
157,200000.0,1.0,309.0,0.0,0.0
158,233550.0,1.0,309.0,0.0,0.0
159,292000.0,3.0,309.0,2.0,8.0
160,315000.0,2.0,309.0,1.0,3.0
161,350000.0,3.0,308.0,6.0,10.0
162,155000.0,1.0,308.0,0.0,5.0
163,196209.0,1.0,308.0,1.0,1.0
164,297510.0,3.0,308.0,1.0,6.0
166,267000.0,2.0,308.0,3.0,8.0
167,218000.0,2.0,308.0,2.0,2.0
168,221000.0,2.0,308.0,1.0,4.0
170,255000.0,2.0,307.0,5.0,6.0
171,258750.0,2.0,307.0,0.0,2.0
172,300000.0,2.0,307.0,4.0,8.0
173,184000.0,2.0,307.0,5.0,5.0
174,314500.0,2.0,307.0,0.0,7.0
175,305500.0,2.0,307.0,5.0,7.0
176,325000.0,3.0,307.0,4.0,12.0
177,290000.0,1.0,307.0,2.0,3.0
178,284500.0,2.0,307.0,0.0,4.0
179,161750.0,1.0,307.0,0.0,0.0
180,100000.0,1.0,307.0,2.0,9.0
181,190000.0,1.0,307.0,1.0,2.0
182,170350.0,1.0,307.0,0.0,2.0
183,307100.0,2.0,307.0,3.0,3.0
184,283750.0,3.0,307.0,0.0,10.0
185,320000.0,3.0,306.0,2.0,9.0
186,236000.0,2.0,306.0,5.0,5.0
187,202000.0,1.0,306.0,2.0,2.0
188,250000.0,4.0,306.0,0.0,15.0
189,192050.0,1.0,306.0,0.0,0.0
190,195600.0,1.0,306.0,0.0,1.0
191,112500.0,1.0,306.0,0.0,1.0
192,469000.0,3.0,306.0,3.0,16.0
193,270500.0,2.0,306.0,5.0,6.0
194,240000.0,2.0,306.0,1.0,3.0
195,240000.0,1.0,306.0,0.0,0.0
196,170000.0,2.0,306.0,0.0,5.0
197,140000.0,1.0,306.0,0.0,4.0
198,340000.0,3.0,305.0,7.0,8.0
199,440000.0,4.0,305.0,7.0,7.0
200,244044.0,3.0,305.0,0.0,9.0
201,180244.0,1.0,305.0,0.0,1.0
202,260000.0,2.0,305.0,4.0,4.0
203,160000.0,1.0,305.0,1.0,3.0
204,260000.0,2.0,305.0,3.0,3.0
205,373400.0,3.0,305.0,0.0,8.0
206,194150.0,1.0,305.0,0.0,0.0
207,248800.0,2.0,305.0,0.0,5.0
208,194150.0,1.0,305.0,0.0,0.0
209,197800.0,1.0,305.0,0.0,3.0
210,461400.0,3.0,305.0,0.0,9.0
211,305850.0,2.0,305.0,0.0,3.0
212,310000.0,2.0,305.0,4.0,5.0
213,242400.0,2.0,304.0,0.0,0.0
214,175000.0,1.0,304.0,0.0,0.0
215,195600.0,1.0,304.0,0.0,0.0
216,238000.0,3.0,304.0,3.0,3.0
218,200693.0,2.0,304.0,3.0,4.0
219,320000.0,2.0,304.0,0.0,4.0
220,275500.0,2.0,304.0,3.0,3.0
221,193200.0,2.0,304.0,2.0,2.0
222,240000.0,2.0,304.0,0.0,7.0
223,180000.0,1.0,304.0,3.0,7.0
224,205000.0,1.0,304.0,1.0,5.0
225,241300.0,2.0,304.0,0.0,0.0
226,170000.0,1.0,304.0,2.0,2.0
227,530000.0,2.0,304.0,0.0,5.0
228,332014.0,3.0,304.0,2.0,7.0
229,100000.0,1.0,304.0,0.0,0.0
230,190000.0,1.0,304.0,3.0,4.0
231,258350.0,2.0,304.0,0.0,3.0
232,83041.0,1.0,304.0,5.0,7.0
233,101000.0,1.0,303.0,0.0,1.0
234,230000.0,2.0,303.0,4.0,4.0
235,208000.0,2.0,303.0,2.0,2.0
236,240000.0,2.0,303.0,2.0,5.0
237,386050.0,2.0,303.0,0.0,8.0
238,180000.0,2.0,303.0,2.0,3.0
239,258000.0,2.0,303.0,3.0,4.0
240,130000.0,1.0,303.0,1.0,1.0
241,270000.0,1.0,302.0,0.0,1.0
242,388000.0,3.0,302.0,4.0,13.0
243,253000.0,2.0,302.0,3.0,4.0
244,295500.0,2.0,302.0,0.0,4.0
245,313000.0,3.0,302.0,3.0,8.0
246,390000.0,3.0,302.0,6.0,7.0
247,420000.0,4.0,302.0,17.0,17.0
248,251250.0,4.0,302.0,0.0,7.0
249,194150.0,1.0,302.0,0.0,0.0
250,218200.0,2.0,302.0,1.0,1.0
251,235000.0,2.0,301.0,0.0,8.0
252,329000.0,3.0,301.0,3.0,10.0
253,196000.0,1.0,301.0,0.0,0.0
254,328000.0,3.0,301.0,3.0,3.0
255,617000.0,5.0,301.0,10.0,17.0
256,350000.0,3.0,301.0,3.0,3.0
257,412000.0,2.0,301.0,3.0,4.0
258,239715.0,2.0,301.0,2.0,5.0
259,656600.0,5.0,301.0,2.0,25.0
260,210227.0,3.0,301.0,5.0,10.0
261,197000.0,1.0,301.0,0.0,0.0
262,325000.0,2.0,301.0,0.0,0.0
263,336000.0,3.0,301.0,4.0,7.0
264,460700.0,3.0,301.0,4.0,4.0
265,331000.0,3.0,300.0,5.0,19.0
266,290000.0,2.0,300.0,3.0,3.0
267,135000.0,1.0,300.0,0.0,3.0
